Group,Material,NPS,OD,TOL,thkC,thkCReq,thkCom,MAWP
G_2,SMLS-API 5L  Gr.B,28,711.2,12.5,1.45,3.94,6.35,12.25
G_2,SMLS-API 5L  Gr.B,30,762.0,12.5,1.55,4.06,6.35,11.44
G_2,SMLS-API 5L  Gr.B,32,812.8,12.5,1.66,4.18,6.35,10.72
G_2,SMLS-API 5L  Gr.B,34,863.6,12.5,1.76,4.3,6.35,10.09
G_2,SMLS-API 5L  Gr.B,36,914.4,12.5,1.87,4.42,6.35,9.53
G_2,SMLS-API 5L  Gr.B,38,965.2,12.5,1.97,4.54,7.92,12.52
G_2,SMLS-API 5L  Gr.B,40,1016.0,12.5,2.07,4.65,7.92,11.89
G_2,SMLS-API 5L  Gr.B,42,1066.8,12.5,2.18,4.77,8.74,12.97
G_2,SMLS-API 5L  Gr.B,44,1117.6,12.5,2.28,4.89,8.74,12.38
G_2,SMLS-API 5L  Gr.B,46,1168.4,12.5,2.38,5.01,8.74,11.84
G_2,SMLS-API 5L  Gr.B,48,1219.2,12.5,2.49,5.13,8.74,11.35
G_3,ERW -ASTM A333 Gr.1 (E=0.85),6,168.27,12.5,0.99,4.56,4.78,11.95
G_3,ERW -ASTM A333 Gr.1 (E=0.85),8,219.07,12.5,1.29,4.9,5.16,11.75
G_3,ERW -ASTM A333 Gr.1 (E=0.85),10,273.05,12.5,1.6,5.26,5.56,11.61
G_3,ERW -ASTM A333 Gr.1 (E=0.85),12,323.85,12.5,1.9,5.6,6.35,13.42
G_3,ERW -ASTM A333 Gr.1 (E=0.85),14,355.6,12.5,2.09,5.81,6.35,12.22
G_3,ERW -ASTM A333 Gr.1 (E=0.85),16,406.4,12.5,2.38,6.15,6.35,10.69
G_3,ERW -ASTM A333 Gr.1 (E=0.85),18,457.2,12.5,2.68,6.49,7.14,12.07
G_3,ERW -ASTM A333 Gr.1 (E=0.85),20,508.0,12.5,2.98,6.83,7.14,10.86
G_3,ERW -ASTM A333 Gr.1 (E=0.85),22,558.8,12.5,3.28,7.17,7.92,11.95
G_3,ERW -ASTM A333 Gr.1 (E=0.85),24,609.6,12.5,3.58,7.52,7.92,10.96
G_3,ERW -ASTM A333 Gr.1 (E=0.85),26,660.4,12.5,3.87,7.86,7.92,10.11
G_3,ERW -ASTM A333 Gr.1 (E=0.85),28,711.2,12.5,4.17,8.2,8.74,11.11
G_3,ERW -ASTM A333 Gr.1 (E=0.85),30,762.0,12.5,4.47,8.54,8.74,10.36
G_3,ERW -ASTM A333 Gr.1 (E=0.85),32,812.8,12.5,4.77,8.88,9.52,11.15
G_3,ERW -ASTM A333 Gr.1 (E=0.85),34,863.6,12.5,5.07,9.22,9.52,10.49
G_3,ERW -ASTM A333 Gr.1 (E=0.85),36,914.4,12.5,5.36,9.56,10.31,11.19
G_3,ERW -ASTM A333 Gr.1 (E=0.85),38,965.2,12.5,5.66,9.9,10.31,10.6
G_3,ERW -ASTM A333 Gr.1 (E=0.85),40,1016.0,12.5,5.96,10.24,10.31,10.07
G_3,ERW -ASTM A333 Gr.1 (E=0.85),42,1066.8,12.5,6.26,10.58,11.13,10.74
G_3,ERW -ASTM A333 Gr.1 (E=0.85),44,1117.6,12.5,6.56,10.92,11.13,10.25
G_3,ERW -ASTM A333 Gr.1 (E=0.85),46,1168.4,12.5,6.85,11.26,11.91,10.79
G_3,ERW -ASTM A333 Gr.1 (E=0.85),48,1219.2,12.5,7.15,11.6,11.91,10.34
